2.7	109
2.7	8
2.8	0
3.1	-0.2
3.3	20
3.5	208
3.7	-0.9
3.8	60
3.9	-181
3.9	0
4.5	-21
4.6	-53
4.9	172
5.1	-40
5.2	-19
5.9	-58
6	18
6.2	-313
6.4	-31
6.7	3
7	150
7.1	14
7.4	17
7.4	49
7.5	0.3
7.5	0.6
8.4	279
9.2	172
9.4	55
9.6	70
10.2	-99
10.4	-74
10.4	46
12	2
12	16
12.8	-305
14.4	-0.5
14.7	-1.1
15.8	-58
16.3	254
16.6	186
17.9	-66.5
18.4	-106
18.6	-11
18.8	93
21.2	-0.8
21.4	153
21.4	57
25.3	-97.4
25.9	-117.7
26.9	192.4
29.4	-228.1
29.8	22.6
34.5	-103.5
35	-104.4
38.4	147.8
38.5	-185.2
41	-195.2
95.7	-247
