Speed,occupancy,Ilane_n
64.47638889,4.772222222,0
64.47638889,4.772222222,0
64.20558608,4.777777778,0
64.20558608,4.777777778,0
64.20558608,4.777777778,0
64.20558608,4.777777778,0
65.24215507,3.411111111,0
65.24215507,3.411111111,0
65.24215507,3.411111111,0
65.24215507,3.411111111,0
63.7256105,5.844444444,0
63.7256105,5.844444444,0
63.7256105,5.844444444,0
63.7256105,5.844444444,0
51.75555556,11.77222222,0
51.75555556,11.77222222,0
51.75555556,11.77222222,0
51.75555556,11.77222222,0
41.20555556,14.42777778,0
41.20555556,14.42777778,0
41.20555556,14.42777778,0
41.20555556,14.42777778,0
27.62261905,19.22579365,0
27.62261905,19.22579365,0
27.62261905,19.22579365,0
27.62261905,19.22579365,0
24.25238095,22.56269841,0
24.25238095,22.56269841,0
24.25238095,22.56269841,0
24.25238095,22.56269841,0
24.17777778,20.79444444,0
24.17777778,20.79444444,0
24.17777778,20.79444444,0
24.17777778,20.79444444,0
37.58055556,13.21111111,0
37.58055556,13.21111111,0
37.58055556,13.21111111,0
37.58055556,13.21111111,0
49.83095238,9.322222222,0
49.83095238,9.322222222,0
49.83095238,9.322222222,0
49.83095238,9.322222222,0
50.47777778,9.483333333,0
50.47777778,9.483333333,0
50.47777778,9.483333333,0
50.47777778,9.483333333,0
65.94107143,3.754761905,0
65.94107143,3.754761905,0
65.94107143,3.754761905,0
65.94107143,3.754761905,0
64.66785714,3.894444444,0
64.66785714,3.894444444,0
64.66785714,3.894444444,0
64.66785714,3.894444444,0
67.08157814,5.415873016,0
67.08157814,5.415873016,0
67.08157814,5.415873016,0
67.08157814,5.415873016,0
20.27777778,27.07222222,0
20.27777778,27.07222222,0
20.27777778,27.07222222,0
20.27777778,27.07222222,0
29.37738095,19.51349206,0
29.37738095,19.51349206,0
29.37738095,19.51349206,0
29.37738095,19.51349206,0
23.95277778,21.25079365,0
23.95277778,21.25079365,0
23.95277778,21.25079365,0
23.95277778,21.25079365,0
23.85357143,23.37366071,0
23.85357143,23.37366071,0
23.85357143,23.37366071,0
23.85357143,23.37366071,0
65.3960928,3.883333333,0
65.3960928,3.883333333,0
65.3960928,3.883333333,0
65.3960928,3.883333333,0
67.48690476,4.352777778,0
67.48690476,4.352777778,0
67.48690476,4.352777778,0
67.48690476,4.352777778,0
67.31985237,4.233333333,0
67.31985237,4.233333333,0
67.31985237,4.233333333,0
67.31985237,4.233333333,0
65.64698773,3.581623932,0
65.64698773,3.581623932,0
65.64698773,3.581623932,0
65.64698773,3.581623932,0
66.56709402,6.138888889,0
66.56709402,6.138888889,0
66.56709402,6.138888889,0
66.56709402,6.138888889,0
62.25555556,10.8238456,0
62.25555556,10.8238456,0
62.25555556,10.8238456,0
62.25555556,10.8238456,0
45.2,14.72777778,0
45.2,14.72777778,0
45.2,14.72777778,0
45.2,14.72777778,0
29.88333333,20.76111111,0
29.88333333,20.76111111,0
29.88333333,20.76111111,0
29.88333333,20.76111111,0
20.92619048,27.49642857,0
20.92619048,27.49642857,0
20.92619048,27.49642857,0
20.92619048,27.49642857,0
12.12777778,30.65198413,0
12.12777778,30.65198413,0
12.12777778,30.65198413,0
12.12777778,30.65198413,0
18.94722222,25.02460317,0
18.94722222,25.02460317,0
18.94722222,25.02460317,0
18.94722222,25.02460317,0
46.94642857,12.08333333,0
46.94642857,12.08333333,0
46.94642857,12.08333333,0
46.94642857,12.08333333,0
61.99285714,4.760714286,0
61.99285714,4.760714286,0
61.99285714,4.760714286,0
61.99285714,4.760714286,0
66.72222222,5.006349206,0
66.72222222,5.006349206,0
66.72222222,5.006349206,0
66.72222222,5.006349206,0
66.60357143,4.427777778,0
66.60357143,4.427777778,0
66.60357143,4.427777778,0
66.60357143,4.427777778,0
67.39775641,3.982440476,0
67.39775641,3.982440476,0
67.39775641,3.982440476,0
67.39775641,3.982440476,0
67.75752442,6.460973748,0
67.75752442,6.460973748,0
67.75752442,6.460973748,0
67.75752442,6.460973748,0
63.15555556,11.17718254,0
63.15555556,11.17718254,0
63.15555556,11.17718254,0
63.15555556,11.17718254,0
60.24444444,11.86944444,0
60.24444444,11.86944444,0
60.24444444,11.86944444,0
60.24444444,11.86944444,0
40.26666667,16.00940171,0
40.26666667,16.00940171,0
40.26666667,16.00940171,0
40.26666667,16.00940171,0
31.85,20.32222222,0
31.85,20.32222222,0
31.85,20.32222222,0
31.85,20.32222222,0
34.67777778,16.2,0
34.67777778,16.2,0
34.67777778,16.2,0
34.67777778,16.2,0
51.75396825,9.511111111,0
51.75396825,9.511111111,0
51.75396825,9.511111111,0
51.75396825,9.511111111,0
55.41944444,7.305555556,0
55.41944444,7.305555556,0
55.41944444,7.305555556,0
55.41944444,7.305555556,0
65.21111111,5.544444444,0
65.21111111,5.544444444,0
65.21111111,5.544444444,0
65.21111111,5.544444444,0
65.48333333,6.944444444,0
65.48333333,6.944444444,0
65.48333333,6.944444444,0
65.48333333,6.944444444,0
63.14960317,6.793253968,0
63.14960317,6.793253968,0
63.14960317,6.793253968,0
63.14960317,6.793253968,0
63.89636752,5.483333333,0
63.89636752,5.483333333,0
63.89636752,5.483333333,0
63.89636752,5.483333333,0
66.87008547,4.355555556,0
66.87008547,4.355555556,0
66.87008547,4.355555556,0
66.87008547,4.355555556,0
64.57123016,4.683333333,0
64.57123016,4.683333333,0
64.57123016,4.683333333,0
64.57123016,4.683333333,0
65.54581807,4.801190476,0
65.54581807,4.801190476,0
65.54581807,4.801190476,0
65.54581807,4.801190476,0
66.40949328,3.738888889,0
66.40949328,3.738888889,0
66.40949328,3.738888889,0
66.40949328,3.738888889,0
66.74761905,5.888095238,0
66.74761905,5.888095238,0
66.74761905,5.888095238,0
66.74761905,5.888095238,0
63.38492063,10.98830475,0
63.38492063,10.98830475,0
63.38492063,10.98830475,0
63.38492063,10.98830475,0
53.81111111,13.05,0
53.81111111,13.05,0
53.81111111,13.05,0
53.81111111,13.05,0
40.79404762,15.85396825,0
40.79404762,15.85396825,0
40.79404762,15.85396825,0
40.79404762,15.85396825,0
28.12222222,21.33888889,0
28.12222222,21.33888889,0
28.12222222,21.33888889,0
28.12222222,21.33888889,0
31.65,18.56746032,0
31.65,18.56746032,0
31.65,18.56746032,0
31.65,18.56746032,0
46.72083333,10.86666667,0
46.72083333,10.86666667,0
46.72083333,10.86666667,0
46.72083333,10.86666667,0
55.48730159,7.127777778,0
55.48730159,7.127777778,0
55.48730159,7.127777778,0
55.48730159,7.127777778,0
63.79444444,6.288888889,0
63.79444444,6.288888889,0
63.79444444,6.288888889,0
63.79444444,6.288888889,0
64.60595238,6.694444444,0
64.60595238,6.694444444,0
64.60595238,6.694444444,0
64.60595238,6.694444444,0
65.61071429,6.677777778,0
65.61071429,6.677777778,0
65.61071429,6.677777778,0
65.61071429,6.677777778,0
65.73412698,5.622222222,0
65.73412698,5.622222222,0
65.73412698,5.622222222,0
65.73412698,5.622222222,0
66.88015873,5.155555556,0
66.88015873,5.155555556,0
66.88015873,5.155555556,0
66.88015873,5.155555556,0
64.58339438,4.755555556,0
64.58339438,4.755555556,0
64.58339438,4.755555556,0
64.58339438,4.755555556,0
66.60584554,4.272222222,0
66.60584554,4.272222222,0
66.60584554,4.272222222,0
66.60584554,4.272222222,0
64.80112943,3.622222222,0
64.80112943,3.622222222,0
64.80112943,3.622222222,0
64.80112943,3.622222222,0
66.86349206,5.711111111,0
66.86349206,5.711111111,0
66.86349206,5.711111111,0
66.86349206,5.711111111,0
63.59444444,9.33015873,0
63.59444444,9.33015873,0
63.59444444,9.33015873,0
63.59444444,9.33015873,0
57.98888889,11.42808303,0
57.98888889,11.42808303,0
57.98888889,11.42808303,0
57.98888889,11.42808303,0
55.29325397,10.85793651,0
55.29325397,10.85793651,0
55.29325397,10.85793651,0
55.29325397,10.85793651,0
50.55,10.46111111,0
50.55,10.46111111,0
50.55,10.46111111,0
50.55,10.46111111,0
52.58769841,9.89047619,0
52.58769841,9.89047619,0
52.58769841,9.89047619,0
52.58769841,9.89047619,0
55.01111111,7.688888889,0
55.01111111,7.688888889,0
55.01111111,7.688888889,0
55.01111111,7.688888889,0
65.58888889,5.122222222,0
65.58888889,5.122222222,0
65.58888889,5.122222222,0
65.58888889,5.122222222,0
66.64786325,5.555555556,0
66.64786325,5.555555556,0
66.64786325,5.555555556,0
66.64786325,5.555555556,0
66.53769841,5.811904762,0
66.53769841,5.811904762,0
66.53769841,5.811904762,0
66.53769841,5.811904762,0
66.93373016,6.611111111,0
66.93373016,6.611111111,0
66.93373016,6.611111111,0
66.93373016,6.611111111,0
65.97222222,5.383333333,0
65.97222222,5.383333333,0
65.97222222,5.383333333,0
65.97222222,5.383333333,0
63.91051587,3.85,0
63.91051587,3.85,0
63.91051587,3.85,0
63.91051587,3.85,0
63.19325397,4.461111111,0
63.19325397,4.461111111,0
63.19325397,4.461111111,0
63.19325397,4.461111111,0
60.74761905,4.983333333,0
60.74761905,4.983333333,0
60.74761905,4.983333333,0
60.74761905,4.983333333,0
66.40708181,6.090873016,0
66.40708181,6.090873016,0
66.40708181,6.090873016,0
66.40708181,6.090873016,0
64.28888889,10.09123932,0
64.28888889,10.09123932,0
64.28888889,10.09123932,0
64.28888889,10.09123932,0
59.97777778,12.00152625,0
59.97777778,12.00152625,0
59.97777778,12.00152625,0
59.97777778,12.00152625,0
52.16111111,12.22222222,0
52.16111111,12.22222222,0
52.16111111,12.22222222,0
52.16111111,12.22222222,0
42.73888889,14.42222222,0
42.73888889,14.42222222,0
42.73888889,14.42222222,0
42.73888889,14.42222222,0
29.4484127,19.00213675,0
29.4484127,19.00213675,0
29.4484127,19.00213675,0
29.4484127,19.00213675,0
39.70595238,14.48333333,0
39.70595238,14.48333333,0
39.70595238,14.48333333,0
39.70595238,14.48333333,0
54.09444444,7.344444444,0
54.09444444,7.344444444,0
54.09444444,7.344444444,0
54.09444444,7.344444444,0
60.88333333,6.422222222,0
60.88333333,6.422222222,0
60.88333333,6.422222222,0
60.88333333,6.422222222,0
65.77222222,6.804365079,0
65.77222222,6.804365079,0
65.77222222,6.804365079,0
65.77222222,6.804365079,0
64.85555556,7.072222222,0
64.85555556,7.072222222,0
64.85555556,7.072222222,0
64.85555556,7.072222222,0
66.53571429,6.124603175,0
66.53571429,6.124603175,0
66.53571429,6.124603175,0
66.53571429,6.124603175,0
65.09166667,4.351388889,0
65.09166667,4.351388889,0
65.09166667,4.351388889,0
65.09166667,4.351388889,0
65.50946276,4.311111111,0
65.50946276,4.311111111,0
65.50946276,4.311111111,0
65.50946276,4.311111111,0
66.06932234,4.320634921,0
66.06932234,4.320634921,0
66.06932234,4.320634921,0
66.06932234,4.320634921,0
65.96260684,3.861111111,0
65.96260684,3.861111111,0
65.96260684,3.861111111,0
65.96260684,3.861111111,0
67.92157738,6.044196429,0
67.92157738,6.044196429,0
67.92157738,6.044196429,0
67.92157738,6.044196429,0
63.7,9.855799756,0
63.7,9.855799756,0
63.7,9.855799756,0
63.7,9.855799756,0
57.41666667,12.34761905,0
57.41666667,12.34761905,0
57.41666667,12.34761905,0
57.41666667,12.34761905,0
53.20972222,12.01884921,0
53.20972222,12.01884921,0
53.20972222,12.01884921,0
53.20972222,12.01884921,0
36.06111111,16.56666667,0
36.06111111,16.56666667,0
36.06111111,16.56666667,0
36.06111111,16.56666667,0
38.07222222,17.46111111,0
38.07222222,17.46111111,0
38.07222222,17.46111111,0
38.07222222,17.46111111,0
49.19444444,9.472222222,0
49.19444444,9.472222222,0
49.19444444,9.472222222,0
49.19444444,9.472222222,0
43.20555556,12.76666667,0
43.20555556,12.76666667,0
43.20555556,12.76666667,0
43.20555556,12.76666667,0
57.35555556,6.766666667,0
57.35555556,6.766666667,0
57.35555556,6.766666667,0
57.35555556,6.766666667,0
60.82777778,7.077777778,0
60.82777778,7.077777778,0
60.82777778,7.077777778,0
60.82777778,7.077777778,0
63.52222222,6.972222222,0
63.52222222,6.972222222,0
63.52222222,6.972222222,0
63.52222222,6.972222222,0
66.55555556,5.027777778,0
66.55555556,5.027777778,0
66.55555556,5.027777778,0
66.55555556,5.027777778,0
63.40873016,5.427777778,0
63.40873016,5.427777778,0
63.40873016,5.427777778,0
63.40873016,5.427777778,0
65.44166667,5.281349206,0
65.44166667,5.281349206,0
65.44166667,5.281349206,0
65.44166667,5.281349206,0
68.24404762,4.541666667,0
68.24404762,4.541666667,0
68.24404762,4.541666667,0
68.24404762,4.541666667,0
67.81336996,3.583333333,0
67.81336996,3.583333333,0
67.81336996,3.583333333,0
67.81336996,3.583333333,0
68.03888889,5.702777778,0
68.03888889,5.702777778,0
68.03888889,5.702777778,0
68.03888889,5.702777778,0
64.47777778,9.942826618,0
64.47777778,9.942826618,0
64.47777778,9.942826618,0
64.47777778,9.942826618,0
58.55,11.79722222,0
58.55,11.79722222,0
58.55,11.79722222,0
58.55,11.79722222,0
53.98333333,11.11111111,0
53.98333333,11.11111111,0
53.98333333,11.11111111,0
53.98333333,11.11111111,0
33.38888889,19.42777778,0
33.38888889,19.42777778,0
33.38888889,19.42777778,0
33.38888889,19.42777778,0
28.88888889,19.82222222,0
28.88888889,19.82222222,0
28.88888889,19.82222222,0
28.88888889,19.82222222,0
42.88888889,12.21111111,0
42.88888889,12.21111111,0
42.88888889,12.21111111,0
42.88888889,12.21111111,0
55.1,7.227777778,0
55.1,7.227777778,0
55.1,7.227777778,0
55.1,7.227777778,0
61.01666667,6.872222222,0
61.01666667,6.872222222,0
61.01666667,6.872222222,0
61.01666667,6.872222222,0
62.45873016,6.808333333,0
62.45873016,6.808333333,0
62.45873016,6.808333333,0
62.45873016,6.808333333,0
64.21111111,7.072222222,0
64.21111111,7.072222222,0
64.21111111,7.072222222,0
64.21111111,7.072222222,0
66.41349206,5.511111111,0
66.41349206,5.511111111,0
66.41349206,5.511111111,0
66.41349206,5.511111111,0
67.25595238,4.683333333,0
67.25595238,4.683333333,0
67.25595238,4.683333333,0
67.25595238,4.683333333,0
66.42222222,4.266666667,0
66.42222222,4.266666667,0
66.42222222,4.266666667,0
66.42222222,4.266666667,0
66.61623932,4.655555556,0
66.61623932,4.655555556,0
66.61623932,4.655555556,0
66.61623932,4.655555556,0
67.34761905,3.966666667,0
67.34761905,3.966666667,0
67.34761905,3.966666667,0
67.34761905,3.966666667,0
67.42063492,5.805555556,0
67.42063492,5.805555556,0
67.42063492,5.805555556,0
67.42063492,5.805555556,0
65.47564103,9.548565324,0
65.47564103,9.548565324,0
65.47564103,9.548565324,0
65.47564103,9.548565324,0
60.98333333,10.75448718,0
60.98333333,10.75448718,0
60.98333333,10.75448718,0
60.98333333,10.75448718,0
61.56111111,9.233333333,0
61.56111111,9.233333333,0
61.56111111,9.233333333,0
61.56111111,9.233333333,0
58.25,7.927777778,0
58.25,7.927777778,0
58.25,7.927777778,0
58.25,7.927777778,0
53.26111111,9.133333333,0
53.26111111,9.133333333,0
53.26111111,9.133333333,0
53.26111111,9.133333333,0
50.66666667,12.85119048,0
50.66666667,12.85119048,0
50.66666667,12.85119048,0
50.66666667,12.85119048,0
50.14126984,13.78988095,0
50.14126984,13.78988095,0
50.14126984,13.78988095,0
50.14126984,13.78988095,0
50.06565934,12.40625,0
50.06565934,12.40625,0
50.06565934,12.40625,0
50.06565934,12.40625,0
63.43769841,5.188888889,0
63.43769841,5.188888889,0
63.43769841,5.188888889,0
63.43769841,5.188888889,0
64.38278388,4.172222222,0
64.38278388,4.172222222,0
64.38278388,4.172222222,0
64.38278388,4.172222222,0
68.35912698,6.01984127,0
68.35912698,6.01984127,0
68.35912698,6.01984127,0
68.35912698,6.01984127,0
64.7,10.12982295,0
64.7,10.12982295,0
64.7,10.12982295,0
64.7,10.12982295,0
60.86666667,11.43412698,0
60.86666667,11.43412698,0
60.86666667,11.43412698,0
60.86666667,11.43412698,0
57.73174603,9.796764347,0
57.73174603,9.796764347,0
57.73174603,9.796764347,0
57.73174603,9.796764347,0
50.28333333,10.82777778,0
50.28333333,10.82777778,0
50.28333333,10.82777778,0
50.28333333,10.82777778,0
51.11230159,11.13632479,0
51.11230159,11.13632479,0
51.11230159,11.13632479,0
51.11230159,11.13632479,0
52.03174603,8.122222222,0
52.03174603,8.122222222,0
52.03174603,8.122222222,0
52.03174603,8.122222222,0
56.42777778,6.816666667,0
56.42777778,6.816666667,0
56.42777778,6.816666667,0
56.42777778,6.816666667,0
63.0468254,6.182539683,0
63.0468254,6.182539683,0
63.0468254,6.182539683,0
63.0468254,6.182539683,0
64,6.6,0
64,6.6,0
64,6.6,0
64,6.6,0
64.60555556,6.616666667,0
64.60555556,6.616666667,0
64.60555556,6.616666667,0
64.60555556,6.616666667,0
66.85634921,5.188888889,0
66.85634921,5.188888889,0
66.85634921,5.188888889,0
66.85634921,5.188888889,0
64.55018315,4.194444444,0
64.55018315,4.194444444,0
64.55018315,4.194444444,0
64.55018315,4.194444444,0
66.36666667,4.755555556,0
66.36666667,4.755555556,0
66.36666667,4.755555556,0
66.36666667,4.755555556,0
66.62896825,4.333333333,0
66.62896825,4.333333333,0
66.62896825,4.333333333,0
66.62896825,4.333333333,0
66.51499542,3.007936508,0
66.51499542,3.007936508,0
66.51499542,3.007936508,0
66.51499542,3.007936508,0
67.17142857,6.4,0
67.17142857,6.4,0
67.17142857,6.4,0
67.17142857,6.4,0
64.41666667,9.754761905,0
64.41666667,9.754761905,0
64.41666667,9.754761905,0
64.41666667,9.754761905,0
57.35555556,12.01568987,0
57.35555556,12.01568987,0
57.35555556,12.01568987,0
57.35555556,12.01568987,0
44.21581197,15.61794872,0
44.21581197,15.61794872,0
44.21581197,15.61794872,0
44.21581197,15.61794872,0
35.82777778,17.33888889,0
35.82777778,17.33888889,0
35.82777778,17.33888889,0
35.82777778,17.33888889,0
34.221875,17.609375,0
34.221875,17.609375,0
34.221875,17.609375,0
34.221875,17.609375,0
55.46428571,7.7,0
55.46428571,7.7,0
55.46428571,7.7,0
55.46428571,7.7,0
61.17222222,6.233333333,0
61.17222222,6.233333333,0
61.17222222,6.233333333,0
61.17222222,6.233333333,0
65.28333333,5.922222222,0
65.28333333,5.922222222,0
65.28333333,5.922222222,0
65.28333333,5.922222222,0
65.72777778,6.65,0
65.72777778,6.65,0
65.72777778,6.65,0
65.72777778,6.65,0
65.26746032,7.132936508,0
65.26746032,7.132936508,0
65.26746032,7.132936508,0
65.26746032,7.132936508,0
65.25436508,5.572222222,0
65.25436508,5.572222222,0
65.25436508,5.572222222,0
65.25436508,5.572222222,0
66.02124542,4.33452381,0
66.02124542,4.33452381,0
66.02124542,4.33452381,0
66.02124542,4.33452381,0
65.97155067,4.977777778,0
65.97155067,4.977777778,0
65.97155067,4.977777778,0
65.97155067,4.977777778,0
66.20744811,4.244444444,0
66.20744811,4.244444444,0
66.20744811,4.244444444,0
66.20744811,4.244444444,0
66.49861111,3.933333333,0
66.49861111,3.933333333,0
66.49861111,3.933333333,0
66.49861111,3.933333333,0
64.23134921,6.705555556,0
64.23134921,6.705555556,0
64.23134921,6.705555556,0
64.23134921,6.705555556,0
33.32777778,17.45,0
33.32777778,17.45,0
33.32777778,17.45,0
33.32777778,17.45,0
25.52222222,20.68293651,0
25.52222222,20.68293651,0
25.52222222,20.68293651,0
25.52222222,20.68293651,0
23.80555556,21.37777778,0
23.80555556,21.37777778,0
23.80555556,21.37777778,0
23.80555556,21.37777778,0
24.43055556,21.5218254,0
24.43055556,21.5218254,0
24.43055556,21.5218254,0
24.43055556,21.5218254,0
22.91111111,21.81111111,0
22.91111111,21.81111111,0
22.91111111,21.81111111,0
22.91111111,21.81111111,0
41.3984127,11.34444444,0
41.3984127,11.34444444,0
41.3984127,11.34444444,0
41.3984127,11.34444444,0
39.98333333,11.61111111,0
39.98333333,11.61111111,0
39.98333333,11.61111111,0
39.98333333,11.61111111,0
65.05039683,4.929761905,0
65.05039683,4.929761905,0
65.05039683,4.929761905,0
65.05039683,4.929761905,0
64.18675214,4.88452381,0
64.18675214,4.88452381,0
64.18675214,4.88452381,0
64.18675214,4.88452381,0
63.48472222,3.955555556,0
63.48472222,3.955555556,0
63.48472222,3.955555556,0
63.48472222,3.955555556,0
65.88412698,6.488888889,0
65.88412698,6.488888889,0
65.88412698,6.488888889,0
65.88412698,6.488888889,0
63.6547619,10.11630037,0
63.6547619,10.11630037,0
63.6547619,10.11630037,0
63.6547619,10.11630037,0
58.52132937,11.75011447,0
58.52132937,11.75011447,0
58.52132937,11.75011447,0
58.52132937,11.75011447,0
52.06785714,12.85714286,0
52.06785714,12.85714286,0
52.06785714,12.85714286,0
52.06785714,12.85714286,0
50.06111111,11.47777778,0
50.06111111,11.47777778,0
50.06111111,11.47777778,0
50.06111111,11.47777778,0
43.16666667,13.71388889,0
43.16666667,13.71388889,0
43.16666667,13.71388889,0
43.16666667,13.71388889,0
53.06706349,9.311111111,0
53.06706349,9.311111111,0
53.06706349,9.311111111,0
53.06706349,9.311111111,0
60.99365079,6.607539683,0
60.99365079,6.607539683,0
60.99365079,6.607539683,0
60.99365079,6.607539683,0
64.15793651,6.311111111,0
64.15793651,6.311111111,0
64.15793651,6.311111111,0
64.15793651,6.311111111,0
63.97777778,6.316666667,0
63.97777778,6.316666667,0
63.97777778,6.316666667,0
63.97777778,6.316666667,0
64.11309524,6.228174603,0
64.11309524,6.228174603,0
64.11309524,6.228174603,0
64.11309524,6.228174603,0
64.52261905,5.583333333,0
64.52261905,5.583333333,0
64.52261905,5.583333333,0
64.52261905,5.583333333,0
64.76388889,4.648412698,0
64.76388889,4.648412698,0
64.76388889,4.648412698,0
64.76388889,4.648412698,0
63.5031746,4.5,0
63.5031746,4.5,0
63.5031746,4.5,0
63.5031746,4.5,0
65.09357448,4.438888889,0
65.09357448,4.438888889,0
65.09357448,4.438888889,0
65.09357448,4.438888889,0
61.98782051,4.494444444,0
61.98782051,4.494444444,0
61.98782051,4.494444444,0
61.98782051,4.494444444,0
66.16071429,6.472619048,0
66.16071429,6.472619048,0
66.16071429,6.472619048,0
66.16071429,6.472619048,0
64.01666667,10.08617216,0
64.01666667,10.08617216,0
64.01666667,10.08617216,0
64.01666667,10.08617216,0
57.0797619,12.57883089,0
57.0797619,12.57883089,0
57.0797619,12.57883089,0
57.0797619,12.57883089,0
49.64444444,12.93333333,0
