network,content_id,genre_id,weekday_id,stratified_hour_id,y,n,leave_out_set
0,2,5,6,5,27,285,0
0,29,5,6,5,27,285,0
0,32,5,6,5,27,285,0
0,36,5,6,5,24,414,0
0,2,5,6,5,37,659,0
0,42,2,6,5,33,693,0
0,20,5,6,5,37,837,0
0,48,2,6,5,70,865,0
0,46,7,0,5,59,426,0
0,23,10,1,5,99,664,0
0,38,2,1,5,27,273,0
0,40,2,1,5,37,413,0
0,22,8,2,5,188,1161,0
0,47,7,2,5,284,2189,0
0,22,8,3,5,197,1187,0
0,51,3,4,5,55,372,0
0,33,7,4,5,53,467,0
0,27,13,5,1,10,112,0
0,50,13,5,1,10,112,0
0,42,2,5,5,17,134,0
0,48,2,5,5,10,127,0
0,41,7,5,5,20,142,0
0,37,5,5,3,23,143,0
0,37,5,5,3,9,70,0
0,27,13,6,1,43,326,0
0,28,13,6,1,43,326,0
0,21,14,6,1,84,655,0
0,29,13,6,5,39,275,0
0,32,13,6,5,39,275,0
0,2,5,6,5,19,234,0
0,36,5,6,5,26,387,0
0,2,5,6,5,34,590,0
0,42,2,6,5,36,675,0
0,20,5,6,5,43,767,0
0,48,2,6,5,62,849,0
0,46,7,0,5,56,340,0
0,23,10,1,5,93,625,0
0,38,2,1,5,29,245,0
0,40,2,1,5,44,434,0
0,47,7,2,5,279,2269,0
0,47,7,2,5,299,2401,0
0,22,8,3,5,208,1196,0
0,33,7,4,5,62,443,0
0,33,7,4,5,74,449,0
0,41,7,5,5,23,156,0
0,37,5,5,3,20,135,0
0,37,5,5,3,7,75,0
0,27,13,6,1,35,258,0
0,28,13,6,1,35,258,0
0,21,14,6,1,73,660,0
0,32,13,6,5,51,426,0
0,29,13,6,5,51,426,0
0,2,5,6,5,24,292,0
0,36,5,6,5,23,425,0
0,20,5,6,5,41,678,0
0,48,2,6,5,49,771,0
0,48,2,6,5,49,712,0
0,23,10,1,5,94,623,0
0,38,2,1,5,25,263,0
0,40,2,1,5,43,469,0
0,22,8,2,5,219,1169,0
0,25,7,3,5,102,696,0
0,1,6,4,5,75,514,0
0,23,10,5,5,19,159,0
0,37,5,5,3,22,150,0
0,37,5,5,3,7,81,0
0,2,5,6,5,22,238,0
0,36,5,6,5,21,234,0
0,2,5,6,5,27,373,0
0,20,5,6,5,25,405,0
0,48,2,6,5,40,654,0
0,48,2,6,5,46,597,0
0,46,7,0,5,33,309,0
0,23,10,1,5,93,631,0
0,38,2,1,5,49,599,0
0,22,8,2,5,201,1129,0
0,25,7,3,5,93,615,0
0,1,6,4,5,52,404,0
0,23,10,5,5,20,138,0
0,37,5,5,3,16,122,0
0,37,5,5,3,8,47,0
0,2,5,6,5,10,157,0
0,36,5,6,5,15,251,0
0,2,5,6,5,29,368,0
0,20,5,6,5,35,378,0
0,48,2,6,5,37,408,0
0,48,2,6,5,28,227,0
0,46,7,0,5,45,320,0
0,23,10,1,5,91,580,0
0,38,2,1,5,44,558,0
0,22,8,2,5,190,1044,0
0,25,7,3,5,91,604,0
0,1,6,4,5,55,391,0
0,27,13,5,5,22,201,0
0,28,13,5,5,22,201,0
0,21,14,5,5,93,650,0
0,37,14,5,3,93,650,0
0,32,14,5,3,41,268,0
0,37,13,5,3,23,153,0
0,29,14,5,3,41,268,0
0,2,5,6,5,12,220,0
0,36,5,6,5,13,238,0
0,2,5,6,5,22,401,0
0,20,5,6,5,34,684,0
0,48,2,6,5,59,594,0
0,48,2,6,5,61,560,0
0,46,7,0,5,77,822,0
0,23,10,1,5,101,645,0
0,38,2,1,5,24,207,0
0,22,8,2,5,182,1007,0
0,25,7,3,5,102,610,0
0,1,6,4,5,67,459,0
0,37,5,5,3,13,133,0
0,37,5,5,3,9,77,0
0,27,13,6,0,41,310,0
0,21,13,6,0,44,326,0
0,28,13,6,0,41,310,0
0,21,13,6,0,41,310,0
0,21,13,6,0,41,310,0
0,21,13,6,1,44,326,0
0,2,5,6,5,24,249,0
0,36,5,6,5,21,262,0
0,2,5,6,5,36,546,0
0,42,2,6,5,25,329,0
0,20,5,6,5,41,753,0
0,48,2,6,5,45,589,0
0,46,7,0,5,81,806,0
0,23,10,1,5,92,592,0
0,38,2,1,5,23,227,0
0,22,8,2,5,194,1007,0
0,25,7,3,5,89,585,0
0,1,6,4,5,85,456,0
0,27,13,5,1,21,180,0
0,41,7,5,5,14,132,0
0,37,5,5,3,25,165,0
0,37,5,5,3,5,63,0
0,21,14,6,0,82,588,0
0,28,13,6,0,23,151,0
0,29,14,6,1,82,588,0
0,32,14,6,1,82,588,0
0,2,5,6,5,25,230,0
0,36,5,6,5,23,327,0
0,2,5,6,5,38,578,0
0,42,2,6,5,33,578,0
0,20,5,6,5,39,740,0
0,48,2,6,5,60,651,0
0,46,7,0,5,101,894,0
0,23,10,1,5,91,589,0
0,38,2,1,5,44,555,0
0,22,8,2,5,188,982,0
0,25,7,3,5,92,599,0
0,1,6,4,5,68,427,0
0,21,14,5,0,19,133,0
0,50,14,5,0,28,220,0
0,27,13,5,0,19,123,0
0,23,10,5,5,20,140,0
0,25,7,5,5,23,170,0
0,37,5,5,3,26,128,0
0,37,5,5,3,10,60,0
0,27,13,6,0,32,212,0
0,28,14,6,0,72,661,0
0,21,14,6,0,72,661,0
0,32,13,6,1,33,274,0
0,29,13,6,1,33,274,0
0,2,5,6,5,21,224,0
0,36,5,6,5,30,341,0
0,2,5,6,5,27,530,0
0,42,2,6,5,34,574,0
0,20,5,6,5,42,756,0
0,48,2,6,5,52,628,0
0,46,7,0,5,73,849,0
0,23,10,1,5,89,630,0
0,38,2,1,5,41,548,0
0,22,8,2,5,199,982,0
0,25,7,3,5,76,563,0
0,25,7,3,5,73,527,0
0,1,6,4,5,39,268,0
0,23,10,5,5,17,129,0
0,25,7,5,5,22,139,0
0,37,5,5,3,21,151,0
0,37,5,5,3,9,83,0
0,2,5,6,5,23,230,0
0,36,5,6,5,17,202,0
0,2,5,6,5,26,503,0
0,42,2,6,5,30,530,0
0,20,5,6,5,27,409,0
0,36,5,6,5,22,427,0
0,23,10,1,5,99,647,0
0,22,8,2,5,226,1094,0
0,25,7,3,5,75,535,0
0,44,7,3,5,92,649,0
0,1,6,4,5,42,294,0
0,23,10,5,5,18,152,0
0,25,7,5,5,19,111,0
0,37,5,5,3,21,147,0
0,37,5,5,3,5,62,0
0,2,5,6,5,19,214,0
0,36,5,6,5,20,338,0
0,2,5,6,5,34,496,0
0,42,2,6,5,22,515,0
0,20,5,6,5,37,666,0
0,36,5,6,5,25,432,0
0,23,10,1,5,92,651,0
0,23,10,1,5,75,612,0
0,34,10,2,5,110,852,0
0,44,7,3,5,63,358,0
0,44,7,3,5,109,651,0
0,23,10,4,5,30,257,0
0,25,7,4,5,27,168,0
0,27,14,5,0,19,216,0
0,50,14,5,1,19,216,0
0,15,14,5,5,69,550,0
0,37,5,5,3,13,126,0
0,37,5,5,3,9,78,0
0,27,13,6,1,24,248,0
0,21,14,6,1,123,910,0
0,28,13,6,1,24,248,0
0,29,13,6,3,62,409,0
0,32,13,6,3,62,409,0
0,34,10,0,5,71,484,0
0,31,11,1,5,69,445,0
0,23,10,1,5,86,645,0
0,34,10,2,5,99,752,0
0,25,7,3,5,87,583,0
0,44,7,3,5,98,666,0
0,31,11,4,5,31,223,0
0,50,14,5,0,26,223,0
0,15,14,5,5,44,479,0
0,32,13,5,5,0,0,0
0,37,5,5,3,16,121,0
0,37,5,5,3,9,79,0
0,36,5,6,5,11,139,0
0,36,5,6,5,18,171,0
0,2,5,6,5,22,297,0
0,42,2,6,5,20,217,0
0,20,5,6,5,22,319,0
0,54,5,6,5,11,221,0
0,24,8,0,5,123,941,0
0,31,11,1,5,47,365,0
0,23,10,1,5,82,632,0
0,34,10,2,5,106,731,0
0,25,7,3,5,94,534,0
0,44,7,3,5,106,680,0
0,31,11,4,5,24,213,0
0,15,14,5,5,44,532,0
0,37,5,5,3,20,126,0
0,37,5,5,3,9,82,0
0,36,5,6,5,14,157,0
0,36,5,6,5,19,164,0
0,2,5,6,5,18,268,0
0,42,2,6,5,17,213,0
0,20,5,6,5,17,284,0
0,54,5,6,5,23,185,0
0,24,8,0,5,132,857,0
0,31,11,1,5,49,390,0
0,23,10,1,5,93,614,0
0,34,10,2,5,101,734,0
0,25,7,3,5,93,598,0
0,44,7,3,5,94,663,0
0,15,14,5,5,58,566,0
0,37,5,5,3,12,101,0
0,36,5,6,5,16,200,0
0,36,5,6,5,12,222,0
0,2,5,6,5,13,288,0
0,42,2,6,5,11,208,0
0,20,5,6,5,21,328,0
0,54,5,6,5,14,199,0
0,24,8,0,5,126,904,0
0,34,10,2,5,99,744,0
0,37,5,5,3,17,90,0
0,24,8,0,5,118,794,0
0,31,11,1,5,30,289,0
0,51,3,1,5,35,302,0
0,34,10,2,5,99,738,0
0,49,10,3,5,61,409,0
0,44,7,3,5,94,738,0
0,2,5,4,5,34,311,0
0,15,14,5,5,49,392,0
0,37,5,5,3,11,120,0
0,37,5,5,3,9,73,0
0,36,14,6,5,22,236,0
0,36,5,6,5,10,106,0
0,2,5,6,5,16,231,0
0,42,2,6,5,9,173,0
0,20,5,6,5,14,265,0
0,54,5,6,5,22,236,0
0,24,8,0,5,102,726,0
0,34,10,2,5,114,719,0
0,49,10,3,5,60,414,0
0,44,7,3,5,101,670,0
0,34,10,4,5,20,184,0
0,46,7,4,5,15,127,0
0,15,14,5,5,41,489,0
0,37,5,5,3,10,104,0
0,37,5,5,3,9,86,0
0,48,2,6,5,40,434,0
0,24,8,0,5,119,825,0
0,31,11,1,5,33,292,0
0,34,10,2,5,107,793,0
0,49,10,3,5,63,404,0
0,44,7,3,5,98,718,0
0,34,10,4,5,33,241,0
0,46,7,4,5,27,194,0
0,15,14,5,5,78,730,0
0,37,14,5,3,78,730,0
0,37,5,5,3,4,71,0
0,36,5,6,5,14,134,0
0,36,5,6,5,13,149,0
0,2,5,6,5,20,243,0
0,42,2,6,5,16,200,0
0,20,5,6,5,18,273,0
0,54,5,6,5,16,160,0
0,24,8,0,5,108,781,0
0,16,13,1,5,77,914,0
0,15,14,1,5,198,2139,0
0,18,14,1,3,198,2139,0
0,34,10,2,5,112,765,0
0,49,10,3,5,46,379,0
0,44,7,3,5,91,688,0
0,34,10,4,5,26,228,0
0,46,7,4,5,22,172,0
0,37,5,5,3,21,152,0
0,37,5,5,3,7,61,0
0,36,5,6,5,19,168,0
0,36,5,6,5,13,158,0
0,2,5,6,5,22,232,0
0,42,2,6,5,17,188,0
0,20,5,6,5,16,277,0
0,54,5,6,5,22,198,0
0,24,8,0,5,94,680,0
0,52,10,1,5,49,309,0
0,34,10,2,5,89,773,0
0,49,10,3,5,48,351,0
0,44,7,3,5,89,751,0
0,53,10,4,5,32,218,0
0,52,10,4,5,27,194,0
0,37,5,5,3,14,116,0
0,37,5,5,3,10,67,0
