16,30,41,48,53,16
01,26,41,50,57,11
23,33,42,46,59,04
02,18,19,22,63,19
10,16,40,52,55,17
06,32,47,62,65,19
10,13,28,52,61,02
03,07,09,31,33,20
05,28,33,38,42,19
05,09,17,37,64,02
14,20,42,49,66,05
06,13,16,17,52,25
09,43,57,60,64,10
12,20,39,49,69,17
18,28,62,66,68,22
23,25,45,52,67,02
09,40,41,53,58,12
23,55,59,64,69,13
01,03,13,16,43,24
03,12,24,37,63,10
16,17,29,41,42,04
01,03,28,57,67,09
16,23,30,44,58,04
28,38,42,51,52,21
25,33,40,54,68,03
01,08,16,40,48,10
18,26,37,39,66,15
12,21,32,44,66,15
41,48,49,53,64,20
08,10,26,27,33,22
03,14,18,25,45,07
17,19,21,37,44,16
07,32,41,47,61,03
16,24,28,43,61,21
28,41,61,63,65,07
08,17,20,27,52,24
01,25,28,31,54,02
21,31,50,51,69,08
13,18,37,54,61,05
19,20,21,42,48,23
02,03,16,48,56,24
01,28,33,55,56,22
10,16,38,43,63,23
23,49,57,64,67,20
16,30,34,37,44,16
03,54,61,64,68,09
08,18,27,29,60,15
02,12,50,61,64,01
30,38,52,53,62,01
07,15,20,29,41,22
01,28,63,67,69,17
09,19,51,55,62,14
10,11,23,28,31,14
03,17,49,55,68,08
22,23,29,33,55,21
07,39,50,59,67,25
05,10,24,56,61,12
04,32,48,49,63,20
09,11,25,64,65,16
03,06,21,60,68,24
33,44,49,50,52,08
38,44,60,64,69,06
23,56,61,64,67,12
20,33,36,47,52,12
09,11,27,66,67,02
11,17,21,23,32,05
10,47,50,65,68,24
05,07,23,35,39,11
06,25,35,58,66,05
11,17,40,50,62,26
03,15,29,54,57,10
10,28,32,61,64,12
02,24,31,57,66,18
10,34,39,59,63,04
23,29,37,60,64,06
03,27,36,56,69,25
14,40,42,43,52,17
02,23,41,53,63,11
04,22,24,31,33,10
20,27,36,41,58,07
12,25,37,60,69,20
16,20,22,43,64,17
23,30,33,40,69,12
06,33,34,58,59,12
11,24,41,59,64,15
05,07,09,23,32,26
23,25,39,54,67,11
13,27,47,64,65,09
20,32,52,66,69,23
05,25,26,44,66,09
30,47,57,66,69,03
03,12,16,32,34,14
02,25,33,39,64,17
19,35,46,59,62,13
12,25,30,52,62,08
03,18,25,32,51,03
30,33,35,38,64,22
14,22,23,41,61,09
04,28,49,60,65,25
